date,returns
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-14,
2016-03-15,-0.0001493478753630294
2016-03-16,0.000844380905138014
2016-03-17,0.0014842863563556137
2016-03-18,0.00043800921864402904
2016-03-21,0.0005200147619984539
2016-03-22,-0.0005082502864445973
2016-03-23,0.00024124529565508728
2016-03-24,0.00034735242751139525
2016-03-28,-0.0001437771727477176
2016-03-29,0.0003712012111831659
2016-03-30,0.0005709533867718886
2016-03-31,0.00023639313169018244
2016-04-01,0.0004914993910670877
2016-04-04,0.00027096526013763416
2016-04-05,-0.0015735871572654255
2016-04-06,0.0015057315029553303
2016-04-07,-0.0029243840057276657
2016-04-08,5.7480383684195e-05
2016-04-11,-0.0021165697742515904
2016-04-12,0.002529123670151282
2016-04-13,0.0012539614683493312
2016-04-14,0.001227589378824355
2016-04-15,0.0003274444019695693
2016-04-18,0.005968771258279786
2016-04-19,0.0029579099107506597
2016-04-20,0.0032513955588730054
2016-04-21,-0.005367864663773432
2016-04-22,0.006506397811502605
2016-04-25,-0.00023224585775713974
2016-04-26,0.006867508909470921
2016-04-27,0.00038429133352509625
2016-04-28,-0.010891683953119947
2016-04-29,-0.0046212728115450075
2016-05-02,0.006531470027164399
2016-05-03,-0.006244040588062343
2016-05-04,-0.0019075245790343852
2016-05-05,0.0030319870819642087
2016-05-06,0.010979295640322559
2016-05-09,0.0005148961591452673
2016-05-10,0.01188434206235602
2016-05-11,0.018380951159614047
2016-05-12,0.00044479596188924696
2016-05-13,0.0026648499661604433
2016-05-16,0.005299465900410074
2016-05-17,-0.0021270541589618686
2016-05-18,0.0017747648919916041
2016-05-19,-0.0023828155401874967
2016-05-20,0.007514311275542022
2016-05-23,0.013927233548898292
2016-05-24,0.004275564412089954
2016-05-25,-0.002271637797577746
2016-05-26,0.0030613588315482674
2016-05-27,0.014805461246611551
2016-05-31,0.0031962193810169386
2016-06-01,0.009485148310379663
2016-06-02,0.0057210765795126465
2016-06-03,0.005551331496587622
2016-06-06,-0.0027513662090263534
2016-06-07,0.006842896136878121
2016-06-08,0.0041509688447424415
2016-06-09,0.0005032828293481502
2016-06-10,-0.00815651221478196
2016-06-13,0.00014608978902393103
2016-06-14,0.0012412785284103662
2016-06-15,-0.00039079368030466727
2016-06-16,0.0072381365935990484
2016-06-17,0.002207898427760895
2016-06-20,0.0024183470951738843
2016-06-21,0.0024528213801862726
2016-06-22,-0.004646601235618791
2016-06-23,0.01304733372252395
2016-06-24,0.0066513050169525936
2016-06-27,-0.003671207334089843
2016-06-28,0.004158715908986233
2016-06-29,-0.006516561716543402
2016-06-30,0.006634457798397103
2016-07-01,0.0009274254215606654
2016-07-05,0.0018274374357243153
2016-07-06,0.001177196470691326
2016-07-07,0.0012001948565979925
2016-07-08,0.014408523176002521
2016-07-11,0.0028381041704372907
2016-07-12,0.004774155823052247
2016-07-13,0.002646727905559398
2016-07-14,0.0034100315035219667
2016-07-15,-0.0008736686618073264
2016-07-18,0.002989059985365036
2016-07-19,-0.0007495824015947308
2016-07-20,0.002525686303567507
2016-07-21,-0.002531444816887705
2016-07-22,0.002623416155490682
2016-07-25,-0.0005080545304289569
2016-07-26,0.004540578964650731
2016-07-27,-0.0005387483038803987
2016-07-28,0.003834540933175233
2016-07-29,0.0015134330239651955
2016-08-01,0.002518770685919278
2016-08-02,-0.004105180808192989
2016-08-03,0.001963800990237794
2016-08-04,0.004253630148757927
2016-08-05,0.0033521213744138337
2016-08-08,-0.000488468795281055
2016-08-09,-0.002018910543958729
2016-08-10,-0.002326357077790491
2016-08-11,0.005067997232600183
2016-08-12,-0.0017545578115443136
2016-08-15,0.003703670218084701
2016-08-16,-0.00512786969532037
2016-08-17,-0.003144298480960456
2016-08-18,0.003944399117935722
2016-08-19,0.0024436220935353348
2016-08-22,-0.0012439419376332704
2016-08-23,0.004530711717852097
2016-08-24,-0.004305424877159461
2016-08-25,-0.0028247358530354614
2016-08-26,0.003407254746727606
2016-08-29,-0.002482658245539063
2016-08-30,-0.004585152928276019
2016-08-31,-0.003783070914408561
2016-09-01,0.0068917353951024095
2016-09-02,-0.00014671994921382103
2016-09-06,-0.00044401302252169875
2016-09-07,-0.004937763239964518
2016-09-08,-0.0023749722731252008
2016-09-09,-0.003356506302179002
2016-09-12,0.003432359820084349
2016-09-13,0.007441487055868354
2016-09-14,0.0033310917415686966
2016-09-15,0.008807012222443927
2016-09-16,0.008079014173475431
2016-09-19,-0.0009469816462048968
2016-09-20,0.00386682273114854
2016-09-21,0.0052232826531311135
2016-09-22,0.0038616312124521925
2016-09-23,0.002773677049734346
2016-09-26,-0.005054541221048287
2016-09-27,-0.00040197752115601643
2016-09-28,0.01981486044847992
2016-09-29,0.007914516415536284
2016-09-30,0.013421608107157635
2016-10-03,-0.006196799385924354
2016-10-04,-0.000867598488395734
